,name,code,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date,adjust_price,arrivals,gdp_capita,distance
123,Peru,PER,PEN,14.9,3.60375,7336.241,28129.592,2023-07-01,4.134582032604926,2262.0,7790.0,19346.0
124,Philippines,PHL,PHP,155.0,54.925,3623.593,197405.351,2023-07-01,2.822030040964952,510580.0,3726.0,2254.0
125,Poland,POL,PLN,19.9,3.9946,18278.144,81464.776,2023-07-01,4.981725329194412,24114.0,22113.0,8874.0
126,Portugal,PRT,EUR,4.9,0.90699,24798.524,23530.756,2023-07-01,5.4024851431658565,12120.0,27275.0,11405.0
127,Qatar,QAT,QAR,14.0,3.64,80572.587,293284.215,2023-07-01,3.846153846153846,2725.0,,5792.0
128,Romania,ROU,RON,14.5,4.4761,15821.133,74033.726,2023-07-01,3.2394271799110834,10684.0,18419.0,8434.0
129,Saudi Arabia,SAU,SAR,19.0,3.7516,34454.212,129203.296,2023-07-01,5.064505810854036,56919.0,28895.0,6255.0
130,Singapore,SGP,SGD,6.45,1.3278,88428.724,121913.734,2023-07-01,4.8576592860370535,14885712.0,84734.0,565.0
131,Slovakia,SVK,EUR,4.3,0.90699,21261.948,20174.979,2023-07-01,4.740956350125139,5417.0,24470.0,9144.0
132,Slovenia,SVN,EUR,3.6,0.90699,28526.671,27068.309,2023-07-01,3.969172758244303,2227.0,32164.0,9348.0
133,Sweden,SWE,SEK,60.27,10.5075,56114.285,567553.982,2023-07-01,5.735902926481085,20681.0,56305.0,9092.0
134,Thailand,THA,THB,128.0,34.22875,7072.755,247980.335,2023-07-01,3.739546433918855,2362222.0,7172.0,864.0
135,Turkey,TUR,TRY,95.0,26.92675,10621.965,176029.268,2023-07-01,3.528090096279722,21675.0,12986.0,8164.0
136,Taiwan,TWN,TWD,75.0,31.4265,32609.595,971972.447,2023-07-01,2.386520929788554,314100.0,,2935.0
137,Ukraine,UKR,UAH,105.0,36.93145,4582.609,148195.287,2023-07-01,2.843105266649428,13729.0,5181.0,8193.0
138,Uruguay,URY,UYU,259.0,37.765,19737.342,812540.335,2023-07-01,6.85820203892493,1368.0,22565.0,16134.0
139,United States,USA,USD,5.58,1.0,77191.871,77191.871,2023-07-01,5.58,267340.0,81695.0,14803.0
140,Vietnam,VNM,VND,74000.0,23687.5,4101.73,96004167.138,2023-07-01,3.12401055408971,402145.0,4347.0,709.0
141,South Africa,ZAF,ZAR,49.9,17.78375,6684.479,109374.794,2023-07-01,2.805932382090391,19621.0,6253.0,9823.0
