,date,sub-region,arrivals
491,Jun 2023,Polynesia,3.0
492,Jun 2023,South-eastern Asia,18068.0
493,Jun 2023,Southern Asia,2475.0
494,Jun 2023,Southern Europe,88.0
495,Jun 2023,Sub-Saharan Africa,43.0
496,Jun 2023,Western Asia,194.0
497,Jun 2023,Western Europe,308.0
498,Jun 2024,Australia and New Zealand,1825.0
499,Jun 2024,Central Asia,245.0
500,Jun 2024,Eastern Asia,6928.0
501,Jun 2024,Eastern Europe,184.0
502,Jun 2024,Latin America and the Caribbean,31.0
503,Jun 2024,Melanesia,29.0
504,Jun 2024,Micronesia,3.0
505,Jun 2024,Northern Africa,204.0
506,Jun 2024,Northern America,1465.0
507,Jun 2024,Northern Europe,425.0
508,Jun 2024,Polynesia,4.0
509,Jun 2024,South-eastern Asia,25603.0
510,Jun 2024,Southern Asia,2932.0
511,Jun 2024,Southern Europe,146.0
512,Jun 2024,Sub-Saharan Africa,58.0
513,Jun 2024,Western Asia,296.0
514,Jun 2024,Western Europe,409.0
515,Mar 2020,Australia and New Zealand,466.0
516,Mar 2020,Central Asia,85.0
517,Mar 2020,Eastern Asia,1011.0
518,Mar 2020,Eastern Europe,141.0
519,Mar 2020,Latin America and the Caribbean,25.0
520,Mar 2020,Melanesia,8.0
521,Mar 2020,Micronesia,2.0
522,Mar 2020,Northern Africa,79.0
523,Mar 2020,Northern America,418.0
524,Mar 2020,Northern Europe,208.0
525,Mar 2020,Polynesia,2.0
526,Mar 2020,South-eastern Asia,8739.0
527,Mar 2020,Southern Asia,916.0
528,Mar 2020,Southern Europe,52.0
529,Mar 2020,Sub-Saharan Africa,27.0
530,Mar 2020,Western Asia,68.0
531,Mar 2020,Western Europe,266.0
532,Mar 2021,Australia and New Zealand,21.0
533,Mar 2021,Central Asia,10.0
534,Mar 2021,Eastern Asia,147.0
535,Mar 2021,Eastern Europe,20.0
536,Mar 2021,Latin America and the Caribbean,5.0
537,Mar 2021,Melanesia,1.0
538,Mar 2021,Micronesia,4.0
539,Mar 2021,Northern Africa,44.0
540,Mar 2021,Northern America,32.0
541,Mar 2021,Northern Europe,23.0
542,Mar 2021,South-eastern Asia,863.0
