,year,country,latitude,longitude,region,arrivals
380,2022,Anguilla,18.220554,-63.068615,Americas,1.0
381,2022,Antigua and Barbuda,17.060816,-61.796428,Americas,140.0
382,2022,Argentina,-38.416097,-63.616672,Americas,2432.0
383,2022,Armenia,40.069099,45.038189,Asia,258.0
384,2022,Aruba,12.52111,-69.968338,Americas,2.0
385,2022,Australia,-25.274398,133.775136,Oceania,179375.0
386,2022,Austria,47.516231,14.550072,Europe,7026.0
387,2022,Azerbaijan,40.143105,47.576927,Asia,645.0
388,2022,Bahamas,25.03428,-77.39628,Americas,50.0
389,2022,Bahrain,25.930414,50.637772,Asia,1349.0
390,2022,Bangladesh,23.684994,90.356331,Asia,239144.0
391,2022,Barbados,13.193887,-59.543198,Americas,51.0
392,2022,Belarus,53.709807,27.953389,Europe,1360.0
393,2022,Belgium,50.503887,4.469936,Europe,9146.0
394,2022,Belize,17.189877,-88.49765,Americas,51.0
395,2022,Benin,9.30769,2.315834,Africa,64.0
396,2022,Bhutan,27.514162,90.433601,Asia,334.0
397,2022,"Bolivia, Plurinational State of",-16.290154,-63.588653,Americas,176.0
398,2022,Bosnia and Herzegovina,43.915886,17.679076,Europe,407.0
399,2022,Botswana,-22.328474,24.684866,Africa,124.0
400,2022,Brazil,-14.235004,-51.92528,Americas,6974.0
401,2022,British Indian Ocean Territory,-6.343194,71.876519,Africa,2.0
402,2022,Brunei Darussalam,4.535277,114.727669,Asia,398291.0
403,2022,Bulgaria,42.733883,25.48583,Europe,1559.0
404,2022,Burkina Faso,12.238333,-1.561593,Africa,42.0
405,2022,Burundi,-3.373056,29.918886,Africa,31.0
406,2022,Cabo Verde,16.002082,-24.013197,Africa,23.0
407,2022,Cambodia,12.565679,104.990963,Asia,49331.0
408,2022,Cameroon,7.369722,12.354722,Africa,191.0
409,2022,Canada,56.130366,-106.346771,Americas,36410.0
410,2022,Central African Republic,6.611111,20.939444,Africa,1.0
411,2022,Chad,15.454166,18.732207,Africa,144.0
412,2022,Chile,-35.675147,-71.542969,Americas,1251.0
413,2022,China,35.86166,104.195397,Asia,294311.0
414,2022,Cocos (Keeling) Islands,-12.164165,96.870956,Oceania,2.0
415,2022,Colombia,4.570868,-74.297333,Americas,1247.0
416,2022,Comoros,-11.875001,43.872219,Africa,106.0
417,2022,Congo,-0.228021,15.827659,Africa,16.0
418,2022,"Congo, The Democratic Republic of the",-4.038333,21.758664,Africa,69.0
419,2022,Costa Rica,9.748917,-83.753428,Americas,449.0
420,2022,Croatia,45.1,15.2,Europe,1270.0
421,2022,Cuba,21.521757,-77.781167,Americas,212.0
422,2022,Cyprus,35.126413,33.429859,Asia,487.0
423,2022,Czechia,49.817492,15.472962,Europe,3902.0
424,2022,Côte d'Ivoire,7.539989,-5.54708,Africa,182.0
425,2022,Denmark,56.26392,9.501785,Europe,9290.0
426,2022,Djibouti,11.825138,42.590275,Africa,122.0
427,2022,Dominica,15.414999,-61.370976,Americas,248.0
428,2022,Dominican Republic,18.735693,-70.162651,Americas,127.0
429,2022,Ecuador,-1.831239,-78.183406,Americas,457.0
430,2022,Egypt,26.820553,30.802498,Africa,14332.0
431,2022,El Salvador,13.794185,-88.89653,Americas,82.0
432,2022,Equatorial Guinea,1.650801,10.267895,Africa,8.0
433,2022,Eritrea,15.179384,39.782334,Africa,114.0
434,2022,Estonia,58.595272,25.013607,Europe,1012.0
435,2022,Eswatini,-26.522503,31.465866,Africa,128.0
436,2022,Ethiopia,9.145,40.489673,Africa,298.0
437,2022,Fiji,-16.578193,179.414413,Oceania,928.0
438,2022,Finland,61.92411,25.748151,Europe,4791.0
439,2022,France,46.227638,2.213749,Europe,70056.0
440,2022,Gabon,-0.803689,11.609444,Africa,68.0
441,2022,Gambia,13.443182,-15.310139,Africa,164.0
442,2022,Georgia,42.315407,43.356892,Asia,385.0
443,2022,Germany,51.165691,10.451526,Europe,68276.0
444,2022,Ghana,7.946527,-1.023194,Africa,507.0
445,2022,Gibraltar,36.137741,-5.345374,Europe,1.0
446,2022,Greece,39.074208,21.824312,Europe,1676.0
447,2022,Grenada,12.262776,-61.604171,Americas,137.0
448,2022,Guatemala,15.783471,-90.230759,Americas,118.0
449,2022,Guinea,9.945587,-9.696645,Africa,365.0
450,2022,Guinea-Bissau,11.803749,-15.180413,Africa,3.0
451,2022,Guyana,4.860416,-58.93018,Americas,28.0
452,2022,Haiti,18.971187,-72.285215,Americas,46.0
453,2022,Holy See (Vatican City State),41.902916,12.453389,Europe,10.0
454,2022,Honduras,15.199999,-86.241905,Americas,114.0
455,2022,Hong Kong,22.396428,114.109497,Asia,1380.0
456,2022,Hungary,47.162494,19.503304,Europe,3331.0
457,2022,Iceland,64.963051,-19.020835,Europe,281.0
458,2022,India,20.593684,78.96288,Asia,472326.0
459,2022,Indonesia,-0.789275,113.921327,Asia,1742038.0
